QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,ATR_PF_GEO_RENDA_FAM,IDADE
0,1,1,0,False,0,True,3,48.0
0,35,40,57,True,0,True,6,46.0
52,38,5,96,True,0,True,5,41.0
0,1,1,0,False,0,True,4,64.0
0,1,0,0,False,0,True,3,49.0
0,1,0,0,False,0,True,2,45.0
2,1,0,0,False,0,True,3,28.0
0,3,3,0,False,0,True,5,43.0
0,5,4,0,False,0,False,2,82.0
0,5,0,9,True,0,True,3,35.0
2,6,6,0,False,0,True,3,29.0
0,7,7,0,False,0,True,3,39.0
0,12,12,0,False,0,True,5,79.0
0,9,9,0,False,0,True,2,45.0
0,1,0,6,True,0,False,2,41.0
0,5,7,0,False,0,True,3,40.0
0,10,10,0,False,0,True,4,51.0
53,32,14,204,True,0,True,3,56.0
0,2,4,0,False,0,True,3,42.0
0,1,0,2,False,0,False,3,43.0
0,10,8,0,False,0,True,4,34.0
6,8,4,5,False,0,False,3,37.0
1,12,14,0,False,0,False,3,33.0
12,1,0,1,True,0,False,4,40.0
0,60,580,710,True,0,True,4,78.0
0,1,0,0,False,0,True,3,50.0
5,4,5,0,False,0,True,2,42.0
15,16,7,1,False,0,False,3,54.0
38,26,13,0,False,0,True,4,57.0
0,53,223,21,False,0,True,3,80.0
0,31,133,197,True,0,False,5,44.0
2,12,6,7,True,0,True,3,39.0
0,1,1,0,False,0,True,3,39.0
0,3,0,0,False,0,False,3,42.0
0,2,4,5,False,0,True,3,83.0
0,58,775,217,True,0,True,2,44.0
0,19,23,0,False,0,False,4,36.0
0,1,0,1,False,0,True,3,37.0
0,10,9,5,False,0,False,3,60.0
1,4,4,0,False,0,False,3,52.0
0,5,6,0,False,0,False,3,33.0
0,10,17,0,False,0,True,3,30.0
132,41,11,150,True,0,False,3,60.0
0,17,3,1,False,0,False,3,37.0
0,28,68,149,True,0,True,5,62.0
0,3,3,1,False,0,False,3,47.0
1,39,328,10,False,0,True,3,36.0
0,1,1,0,False,0,True,3,43.0
3,28,9,38,False,0,False,3,62.0
0,57,238,253,True,0,False,3,46.0
0,2,1,0,False,0,False,3,38.0
0,1,1,0,False,0,True,3,45.0
0,1,1,0,False,0,True,2,53.0
0,60,843,403,True,0,True,3,42.0
0,1,0,1,False,0,False,3,51.0
0,4,4,0,False,0,True,3,40.0
0,2,1,0,False,0,True,3,32.0
15,25,13,0,False,0,False,4,38.0
0,10,10,0,False,0,False,4,43.0
0,4,4,0,False,0,True,3,47.0
0,1,1,0,False,0,False,3,32.0
3,13,0,21,True,0,False,3,41.0
0,15,4,0,False,0,False,3,74.0
1,10,0,13,True,0,False,4,31.0
0,56,148,245,False,0,False,3,47.0
71,27,81,8,False,0,False,4,36.0
0,13,6,27,False,0,False,3,69.0
0,5,7,0,False,0,True,4,36.0
8,29,0,121,True,0,False,2,29.0
8,23,10,41,True,0,False,4,30.0
0,5,4,0,False,0,True,3,41.0
0,6,4,0,False,0,False,3,34.0
